fecha,ubicacion,departamento,cultivo,latitud,longitud,altitud_m,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS2M,pH_suelo,humedad_suelo_pct
2007-01-01,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.45,30.33,18.25,80.62,4.48,20.52,1.81,6.59,27.03
2007-01-02,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.58,30.79,15.69,64.38,0.0,17.38,1.83,6.14,24.48
2007-01-03,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.07,29.74,18.2,85.8,4.94,,2.38,6.5,26.3
2007-01-04,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.08,30.31,17.07,72.97,0.0,20.15,1.51,6.47,18.2
2007-01-05,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.8,30.74,18.34,73.86,1.14,15.33,1.82,6.77,30.06
2007-01-06,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.41,30.89,17.21,69.62,5.88,20.56,2.37,6.11,28.22
2007-01-07,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.3,31.67,17.12,72.07,0.0,20.86,1.64,6.69,29.48
2007-01-08,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.07,30.41,18.57,76.98,0.0,18.43,2.63,5.48,32.11
2007-01-09,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.08,30.14,17.69,63.06,0.0,17.43,1.4,6.12,31.72
2007-01-10,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.81,29.99,18.1,78.79,0.0,17.44,2.21,6.43,32.84
2007-01-11,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.37,30.11,17.21,65.68,0.0,13.19,2.14,6.26,26.55
2007-01-12,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.41,30.3,17.81,62.89,0.0,19.02,1.97,5.73,27.87
2007-01-13,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.05,33.46,17.41,74.51,4.72,18.49,2.46,6.66,33.37
2007-01-14,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.18,32.18,16.2,75.93,16.48,16.52,1.77,6.43,30.43
2007-01-15,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.6,30.58,16.54,75.37,0.0,19.74,1.94,6.26,23.57
2007-01-16,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.68,31.17,18.64,75.63,0.0,15.29,2.07,6.49,31.91
2007-01-17,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.89,28.92,18.12,74.48,0.0,19.74,2.49,6.48,32.24
2007-01-18,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.16,29.04,18.65,79.63,1.2,20.07,2.31,6.84,30.48
2007-01-19,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.85,29.46,17.75,66.15,1.55,20.26,1.9,6.82,31.15
2007-01-20,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,26.46,30.61,16.19,72.83,0.0,16.36,2.19,6.32,31.57
2007-01-21,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.43,30.41,16.75,65.43,0.0,16.65,1.79,,28.46
2007-01-22,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.57,32.62,17.83,68.96,0.0,18.62,1.54,6.53,30.8
2007-01-23,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.97,31.76,16.22,68.31,0.0,19.11,2.1,,32.36
2007-01-24,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.29,30.51,18.93,77.94,0.0,17.87,2.3,6.13,26.82
2007-01-25,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,23.56,30.6,19.91,63.66,0.0,17.67,2.03,6.09,26.33
2007-01-26,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.4,30.65,18.15,66.65,3.65,17.2,2.55,6.69,29.17
2007-01-27,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.4,31.76,16.97,70.78,0.4,16.96,2.66,6.28,26.53
2007-01-28,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,24.29,28.57,18.55,79.33,0.0,22.74,2.41,5.87,25.58
2007-01-29,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,25.14,29.65,18.04,76.87,0.0,18.46,1.63,5.95,27.47
2007-01-30,Palmira_VAC,Valle del Cauca,caña_de_azúcar,3.51,-76.31,1001,22.2,28.94,19.14,79.62,10.56,15.63,2.16,6.72,30.15
